service_id,date,exception_type
B47094ASZKP-0021,20210102,1
B47094ASZKP-0021,20210109,1
B47094ASZKP-0021,20210116,1
B47094ASZKP-0021,20210123,1
B47094ASZKP-0021,20210130,1
B47095AVVKP-0021,20210101,1
B47095AVVKP-0021,20210103,1
B47095AVVKP-0021,20210110,1
B47095AVVKP-0021,20210117,1
B47095AVVKP-0021,20210124,1
B47095AVVKP-0021,20210131,1
B47096AHCKP-0021,20201214,1
B47096AHCKP-0021,20201215,1
B47096AHCKP-0021,20201216,1
B47096AHCKP-0021,20201217,1
B47096AHCKP-0021,20210104,1
B47096AHCKP-0021,20210105,1
B47096AHCKP-0021,20210106,1
B47096AHCKP-0021,20210107,1
B47096AHCKP-0021,20210111,1
B47096AHCKP-0021,20210112,1
B47096AHCKP-0021,20210113,1
B47096AHCKP-0021,20210114,1
B47096AHCKP-0021,20210118,1
B47096AHCKP-0021,20210119,1
B47096AHCKP-0021,20210120,1
B47096AHCKP-0021,20210121,1
B47096AHCKP-0021,20210125,1
B47096AHCKP-0021,20210126,1
B47096AHCKP-0021,20210127,1
B47096AHCKP-0021,20210128,1
B47096AHCKP-0021,20210201,1
B47097APPKP-0021,20201218,1
B47097APPKP-0021,20210108,1
B47097APPKP-0021,20210115,1
B47097APPKP-0021,20210122,1
B47097APPKP-0021,20210129,1
B49107K1HCLA-0011,20201221,1
B49107K1HCLA-0011,20201222,1
B49108K1PPLA-0011,20201223,1
B50741THSZLA-0011,20201219,1
B50745THVVLA-0011,20201213,1
B50745THVVLA-0011,20201220,1
B50745THVVLA-0011,20201225,1
B50745THVVLA-0011,20201226,1
B50745THVVLA-0011,20201227,1
B5762424SZKP-0011,20201224,1
B76359AHPMG-0011,20201214,1
B76359AHPMG-0011,20201215,1
B76359AHPMG-0011,20201216,1
B76359AHPMG-0011,20201217,1
B76359AHPMG-0011,20201218,1
B76359AHPMG-0011,20201221,1
B76359AHPMG-0011,20201222,1
B76359AHPMG-0011,20201223,1
B79503AVVSzN-011,20201225,1
B79503AVVSzN-011,20201226,1
B79503AVVSzN-011,20201227,1
B79503AVVSzN-011,20210101,1
B79503AVVSzN-011,20210103,1
B79503AVVSzN-011,20210110,1
B79503AVVSzN-011,20210117,1
B79503AVVSzN-011,20210124,1
B79503AVVSzN-011,20210131,1
B86469AHCMAA-081,20201214,1
B86469AHCMAA-081,20201215,1
B86469AHCMAA-081,20201216,1
B86469AHCMAA-081,20201217,1
B86469AHCMAA-081,20210104,1
B86469AHCMAA-081,20210105,1
B86469AHCMAA-081,20210106,1
B86469AHCMAA-081,20210107,1
B86469AHCMAA-081,20210111,1
B86469AHCMAA-081,20210112,1
B86469AHCMAA-081,20210113,1
B86469AHCMAA-081,20210114,1
B86469AHCMAA-081,20210118,1
B86469AHCMAA-081,20210119,1
B86469AHCMAA-081,20210120,1
B86469AHCMAA-081,20210121,1
B86469AHCMAA-081,20210125,1
B86469AHCMAA-081,20210126,1
B86469AHCMAA-081,20210127,1
B86469AHCMAA-081,20210128,1
B86469AHCMAA-081,20210201,1
B86471APPMAA-081,20201218,1
B86471APPMAA-081,20210108,1
B86471APPMAA-081,20210115,1
B86471APPMAA-081,20210122,1
B86471APPMAA-081,20210129,1
B87093K1HPMAA-071,20201221,1
B87093K1HPMAA-071,20201222,1
B87093K1HPMAA-071,20201223,1
B88527AHPMAA-051,20210101,1
B8990524SZRG-0011,20201224,1
B90249EVVHPBP-0011,20201228,1
B90249EVVHPBP-0011,20201229,1
B90249EVVHPBP-0011,20201230,1
B90249EVVHPBP-0011,20201231,1
B91686AVVKM-0071,20201213,1
B91686AVVKM-0071,20201220,1
B91686AVVKM-0071,20201225,1
B91686AVVKM-0071,20201226,1
B91686AVVKM-0071,20201227,1
B91686AVVKM-0071,20210101,1
B91686AVVKM-0071,20210103,1
B91686AVVKM-0071,20210110,1
B91686AVVKM-0071,20210117,1
B91686AVVKM-0071,20210124,1
B91686AVVKM-0071,20210131,1
B91688ASZKM-0071,20201219,1
B91688ASZKM-0071,20210102,1
B91688ASZKM-0071,20210109,1
B91688ASZKM-0071,20210116,1
B91688ASZKM-0071,20210123,1
B91688ASZKM-0071,20210130,1
B91712AHPMG-0011,20201214,1
B91712AHPMG-0011,20201215,1
B91712AHPMG-0011,20201216,1
B91712AHPMG-0011,20201217,1
B91712AHPMG-0011,20201218,1
B91712AHPMG-0011,20201221,1
B91712AHPMG-0011,20201222,1
B91712AHPMG-0011,20201223,1
B91961AHPSzN-011,20201214,1
B91961AHPSzN-011,20201215,1
B91961AHPSzN-011,20201216,1
B91961AHPSzN-011,20201217,1
B91961AHPSzN-011,20201218,1
B91961AHPSzN-011,20201221,1
B91961AHPSzN-011,20201222,1
B91961AHPSzN-011,20201223,1
B91961AHPSzN-011,20210104,1
B91961AHPSzN-011,20210105,1
B91961AHPSzN-011,20210106,1
B91961AHPSzN-011,20210107,1
B91961AHPSzN-011,20210108,1
B91961AHPSzN-011,20210111,1
B91961AHPSzN-011,20210112,1
B91961AHPSzN-011,20210113,1
B91961AHPSzN-011,20210114,1
B91961AHPSzN-011,20210115,1
B91961AHPSzN-011,20210118,1
B91961AHPSzN-011,20210119,1
B91961AHPSzN-011,20210120,1
B91961AHPSzN-011,20210121,1
B91961AHPSzN-011,20210122,1
B91961AHPSzN-011,20210125,1
B91961AHPSzN-011,20210126,1
B91961AHPSzN-011,20210127,1
B91961AHPSzN-011,20210128,1
B91961AHPSzN-011,20210129,1
B91961AHPSzN-011,20210201,1
B92158ASZRG-0021,20201219,1
B92158ASZRG-0021,20210102,1
B92158ASZRG-0021,20210109,1
B92158ASZRG-0021,20210116,1
B92158ASZRG-0021,20210123,1
B92158ASZRG-0021,20210130,1
B92162AVVRG-0021,20201213,1
B92162AVVRG-0021,20201220,1
B92162AVVRG-0021,20201227,1
B92162AVVRG-0021,20210101,1
B92162AVVRG-0021,20210103,1
B92162AVVRG-0021,20210110,1
B92162AVVRG-0021,20210117,1
B92162AVVRG-0021,20210124,1
B92162AVVRG-0021,20210131,1
B92452AHPKM-0071,20201214,1
B92452AHPKM-0071,20201215,1
B92452AHPKM-0071,20201216,1
B92452AHPKM-0071,20201217,1
B92452AHPKM-0071,20201218,1
B92452AHPKM-0071,20201221,1
B92452AHPKM-0071,20201222,1
B92452AHPKM-0071,20201223,1
B92452AHPKM-0071,20201228,1
B92452AHPKM-0071,20201229,1
B92452AHPKM-0071,20201230,1
B92452AHPKM-0071,20201231,1
B92452AHPKM-0071,20210104,1
B92452AHPKM-0071,20210105,1
B92452AHPKM-0071,20210106,1
B92452AHPKM-0071,20210107,1
B92452AHPKM-0071,20210108,1
B92452AHPKM-0071,20210111,1
B92452AHPKM-0071,20210112,1
B92452AHPKM-0071,20210113,1
B92452AHPKM-0071,20210114,1
B92452AHPKM-0071,20210115,1
B92452AHPKM-0071,20210118,1
B92452AHPKM-0071,20210119,1
B92452AHPKM-0071,20210120,1
B92452AHPKM-0071,20210121,1
B92452AHPKM-0071,20210122,1
