k,knn
2,91.5
4,35.75
7,40.5714285714285714
8,61.375
9,58.2222222222222222
9,84.1111111111111111
10,55.9
10,66.7
11,66.7272727272727273
12,61.25
14,67.0714285714285714
15,87.0666666666666667
16,63.25
17,63.7647058823529412
17,64.2352941176470588
18,53.8333333333333333
18,63.2222222222222222
18,63.6111111111111111
18,69.1666666666666667
19,70
19,79.5263157894736842
20,69.05
20,69.6
20,75.3
21,56.1428571428571429
21,60
22,56
22,68.4545454545454545
23,48.5217391304347826
23,59.6521739130434783
24,57.375
25,66.56
25,67.64
25,82.84
27,73.5925925925925926
28,54.5714285714285714
28,63.1785714285714286
28,67.0357142857142857
28,69.2857142857142857
30,54.9666666666666667
30,67.0333333333333333
30,78.7
31,55.7741935483870968
31,58.0645161290322581
31,62.5806451612903226
32,63.40625
32,76.5625
33,62.0909090909090909
33,62.6060606060606061
33,64.1515151515151515
33,76.9090909090909091
34,59.1176470588235294
34,61.5
34,69.2058823529411765
35,50.8571428571428571
35,60.9142857142857143
35,62.6571428571428571
35,62.8285714285714286
36,52.6666666666666667
36,58.1388888888888889
36,65.7777777777777778
36,74.7222222222222222
37,61.6756756756756757
38,60.3947368421052632
38,62.8947368421052632
38,63.3684210526315789
38,64.1578947368421053
38,71.4736842105263158
39,57.1538461538461538
39,58.6666666666666667
39,60.3333333333333333
39,60.3846153846153846
39,61.1025641025641026
40,61.725
40,63.25
40,66.975
40,75.75
41,58.3902439024390244
41,58.9268292682926829
41,60
41,61.951219512195122
41,66.1951219512195122
41,67.2439024390243902
41,70.5609756097560976
41,72.6829268292682927
41,78.2439024390243902
42,51.7380952380952381
42,65.5238095238095238
42,68.5714285714285714
42,78.1428571428571429
43,53.2558139534883721
44,58.2272727272727273
44,64.4090909090909091
44,66.5681818181818182
44,68
44,68.0909090909090909
44,69.8863636363636364
44,71.6136363636363636
44,72.7045454545454545
45,60.6666666666666667
45,70.2444444444444444
45,72.1555555555555556
45,76.7555555555555556
46,53.6304347826086957
46,68.8695652173913043
47,52.851063829787234
47,57.3617021276595745
47,65.6808510638297872
47,67.1063829787234043
47,71.3617021276595745
47,77.8297872340425532
48,74.1666666666666667
49,58.163265306122449
49,63.3673469387755102
49,64.1428571428571429
49,72.2857142857142857
49,77.836734693877551
50,62.84
50,65.58
50,69.98
50,70.92
50,71.3
51,62.8627450980392157
51,74.4509803921568627
52,71.4615384615384615
53,58.2830188679245283
53,65.8490566037735849
53,66.169811320754717
53,70.6981132075471698
53,74.0566037735849057
54,63.9259259259259259
54,67
54,68.7592592592592593
54,69.7777777777777778
54,70.6111111111111111
54,70.7037037037037037
54,71.2222222222222222
54,71.962962962962963
55,62.0363636363636364
55,66.4363636363636364
55,67.7636363636363636
55,71.1272727272727273
56,65.4107142857142857
56,66.5892857142857143
56,66.6428571428571429
57,59.5789473684210526
57,60.5263157894736842
57,65.4912280701754386
58,63.103448275862069
58,67.603448275862069
58,68.8275862068965517
58,71.396551724137931
58,71.7068965517241379
58,74.1206896551724138
58,74.4655172413793103
58,75.4827586206896552
59,62.5423728813559322
59,68.9152542372881356
59,72.3898305084745763
59,74.6101694915254237
60,62.0833333333333333
60,63.3
60,66.5833333333333333
60,68.1166666666666667
60,71.3833333333333333
60,72.8833333333333333
60,75.5
61,62.7049180327868852
61,66.0655737704918033
61,67.2131147540983607
61,67.3278688524590164
61,68.8524590163934426
61,69.2786885245901639
61,72.2459016393442623
62,61.3064516129032258
62,66.8387096774193548
62,72.8387096774193548
62,74.0967741935483871
63,68.8095238095238095
63,70.7301587301587302
63,71.4603174603174603
63,73.6031746031746032
64,64.5
64,68
64,71.046875
66,65.8484848484848485
66,68.9848484848484848
66,72.6515151515151515
67,61.417910447761194
67,73.9552238805970149
68,64.4411764705882353
68,67.1617647058823529
68,67.2941176470588235
68,67.8970588235294118
68,72.3676470588235294
69,62.6811594202898551
69,64.2173913043478261
70,68.5714285714285714
70,69.0714285714285714
70,70.7
70,76.6
71,61.9577464788732394
71,64.7887323943661972
71,68.2957746478873239
71,68.8873239436619718
71,69.4225352112676056
71,71.2112676056338028
72,66.6944444444444444
72,66.75
72,70.0694444444444444
72,70.6388888888888889
72,70.8333333333333333
72,72.5972222222222222
73,64.726027397260274
73,65.4657534246575342
73,68.5205479452054795
73,68.7808219178082192
73,70.863013698630137
73,72.7397260273972603
74,66.5810810810810811
74,68.2027027027027027
74,69.3513513513513514
74,69.9864864864864865
74,70.1216216216216216
75,69.1866666666666667
75,69.5866666666666667
75,70.9733333333333333
75,72.32
76,69.4868421052631579
76,70.3289473684210526
76,72.1315789473684211
77,62.6493506493506494
77,69.2337662337662338
77,69.7402597402597403
78,66.7435897435897436
78,71.1923076923076923
79,65.6962025316455696
80,71.425
81,67.2962962962962963
81,69.8024691358024691
82,64.0609756097560976
82,70.4146341463414634
82,71.8780487804878049
83,66.1686746987951807
83,66.4216867469879518
84,68.0833333333333333
84,68.3928571428571429
84,72.0357142857142857
85,71.2
85,74.2823529411764706
86,68.8255813953488372
86,74.6046511627906977
87,66.264367816091954
87,67.4827586206896552
88,73.6818181818181818
89,63.4382022471910112
89,66.4269662921348315
90,71.4333333333333333
91,63.3846153846153846
93,70.7311827956989247
94,71.8191489361702128
96,66.53125
97,69.5670103092783505
99,61.797979797979798
99,62.6363636363636364
101,67.8811881188118812
102,66.4411764705882353
103,68.6213592233009709
105,64.2666666666666667
108,63.7962962962962963
109,69.8715596330275229
110,68.3818181818181818
110,70.3818181818181818
112,64.3303571428571429
112,67.3571428571428571
114,59.7017543859649123
114,70.1228070175438596
115,67.4869565217391304
117,69.1623931623931624
118,64.423728813559322
121,65.5619834710743802
122,68.7622950819672131
128,64.625
132,64.803030303030303
137,62.2846715328467153
