k,knn
2,18.5
4,18.75
4,19.5
5,16.4
5,24.4
9,22.3333333333333333
10,19.6
10,21.3
11,18.9090909090909091
11,20.4545454545454545
12,19
13,21.7692307692307692
14,22.3571428571428571
15,22.0666666666666667
16,20.625
16,22.8125
17,19.8235294117647059
17,19.9411764705882353
17,20.2352941176470588
18,16.9444444444444444
18,20.7777777777777778
19,19
19,20.4736842105263158
20,21.3
21,20.0952380952380952
21,20.619047619047619
21,21
21,21.619047619047619
22,20.3181818181818182
24,20.75
25,19.48
25,19.52
25,20.72
27,19.4444444444444444
27,19.4814814814814815
27,20.1111111111111111
29,19.2413793103448276
30,18.9
