route_1,degree
0050,121
0070,94
0075,58
0078,55
0085,114
0090,99
0100,38
0110,40
0130,40
0131,28
0150,77
0160,53
0161,32
0205,83
0210,35
0211,35
0220,39
0221,39
0230,45
0235,60
0250,67
0260,36
0270,30
0290,43
0300,69
0301,66
0310,59
0320,81
0330,70
0340,28
0350,85
0360,115
0380,74
0381,44
0390,44
0400,61
0402,58
0405,78
0440,49
0450,61
0460,99
0530,54
0540,84
0550,101
0570,72
0580,59
0630,45
0640,54
0641,53
0650,12
0651,12
0660,68
0662,68
0665,63
0670,41
0680,87
0710,47
0844,109
0845,103
0850,62
0855,58
0870,38
0880,87
0881,77
0895,70
0910,57
0920,28
0921,28
0930,75
0931,75
0944,67
0945,61
0950,50
0960,72
0975,41
0980,112
0985,84
0990,70
1012,57
1015,53
1020,54
1030,48
1040,47
1041,46
1050,82
1060,24
1085,110
1090,36
1100,86
1110,60
1120,88
1130,28
1131,28
1140,74
1150,74
1160,32
1170,20
1180,18
1190,41
1200,47
1210,40
1220,23
1230,72
1231,72
1240,72
1250,42
1260,18
1261,17
1280,38
1290,40
1300,76
1310,82
1335,117
1340,36
1350,49
1365,54
1370,21
1380,58
1390,56
1400,102
1401,83
1402,41
1410,71
1440,55
1460,64
1461,18
1470,57
1480,80
1490,33
1500,63
1510,122
1520,71
1530,51
1540,51
1550,33
1560,33
1570,28
1571,28
1580,19
1590,52
1600,37
1610,49
1611,45
1615,44
1620,35
1621,33
1640,53
1650,10
1660,79
1685,68
1695,61
1700,31
1720,81
1730,54
1740,60
1750,41
1765,71
1780,59
1790,41
1810,9
1820,61
1821,55
1830,31
1840,74
1850,25
1870,38
1880,70
1885,50
1910,25
1935,30
1940,63
1942,63
1944,33
1950,41
1960,47
1961,41
1970,7
1980,105
1990,63
2005,54
2025,39
2040,42
2120,64
2130,74
2140,68
2170,42
2175,62
2180,22
2190,4
2200,39
2220,38
2234,68
2240,56
2250,31
2300,66
2310,91
2360,56
2361,56
2370,21
2380,86
2400,71
2410,20
2411,17
2430,23
2440,51
2500,73
2502,71
2510,46
2511,44
2544,90
2570,44
2600,11
2615,41
2620,35
2640,44
2660,54
2690,8
2700,30
2720,47
2765,68
2770,84
2780,44
2790,58
2792,59
2800,72
2802,73
2810,25
2825,34
2845,50
2870,76
2910,38
2944,76
2945,72
2960,53
2961,34
2970,2
2980,10
3010,132
3014,78
3020,58
3024,82
3028,49
3030,118
3040,112
3060,108
3120,34
3140,44
3148,44
3170,114
3190,77
3198,77
3240,66
3280,58
3281,58
3370,110
3371,42
3410,137
3420,62
3428,128
3470,63
3478,63
3480,60
3490,73
3498,73
3500,75
3508,75
3510,75
3511,15
3520,85
3560,89
3561,73
35618,73
3590,62
3591,60
3592,73
3598,61
3600,21
3610,71
3620,89
3621,69
3690,36
3698,36
4700,32
4724,60
4728,60
4734,60
4740,55
4741,9
4750,58
4758,73
4760,54
4768,61
4770,19
4778,49
4780,47
4794,64
4800,66
4801,45
4808,75
4810,35
4820,50
4830,27
4838,27
5100,50
5200,96
5300,39
5301,53
5400,93
6100,39
6130,39
6150,39
6200,22
6210,22
6230,16
6300,14
6400,35
6470,35
8110,44
HP63,20
MP53,97
MP538,18
