route_1,route_2
0680,1950
0680,1620
0680,1610
0680,2620
0680,1611
0680,1621
0680,2025
1950,0680
1950,1620
1950,1610
1950,2620
1950,1611
1950,1621
1950,2025
1620,0680
1620,1950
1620,1610
1620,2620
1620,1611
1620,1621
1620,2025
1610,0680
1610,1950
1610,1620
1610,2620
1610,1611
1610,1621
1610,2025
2620,0680
2620,1950
2620,1620
2620,1610
2620,1611
2620,1621
2620,2025
1611,0680
1611,1950
1611,1620
1611,1610
1611,2620
1611,1621
1611,2025
1621,0680
1621,1950
1621,1620
1621,1610
1621,2620
1621,1611
1621,2025
2025,0680
2025,1950
2025,1620
2025,1610
2025,2620
2025,1611
2025,1621
1950,1611
1950,1621
1950,1610
1950,2025
1950,2620
1950,1620
1611,1950
1611,1621
1611,1610
1611,2025
1611,2620
1611,1620
1621,1950
1621,1611
1621,1610
1621,2025
1621,2620
1621,1620
1610,1950
1610,1611
1610,1621
1610,2025
1610,2620
1610,1620
2025,1950
2025,1611
2025,1621
2025,1610
2025,2620
2025,1620
2620,1950
2620,1611
2620,1621
2620,1610
2620,2025
2620,1620
1620,1950
1620,1611
1620,1621
1620,1610
1620,2025
1620,2620
0975,1621
0975,1620
0975,1615
0975,1950
0975,0670
0975,1611
0975,1610
0975,2025
0975,1695
0975,2620
0975,2615
1621,0975
1621,1620
1621,1615
1621,1950
1621,0670
1621,1611
1621,1610
1621,2025
1621,1695
1621,2620
1621,2615
1620,0975
1620,1621
1620,1615
1620,1950
1620,0670
1620,1611
1620,1610
1620,2025
1620,1695
1620,2620
1620,2615
1615,0975
1615,1621
1615,1620
1615,1950
1615,0670
1615,1611
1615,1610
1615,2025
1615,1695
1615,2620
1615,2615
1950,0975
1950,1621
1950,1620
1950,1615
1950,0670
1950,1611
1950,1610
1950,2025
1950,1695
1950,2620
1950,2615
0670,0975
0670,1621
0670,1620
0670,1615
0670,1950
0670,1611
0670,1610
0670,2025
0670,1695
0670,2620
0670,2615
1611,0975
1611,1621
1611,1620
1611,1615
1611,1950
1611,0670
1611,1610
1611,2025
1611,1695
1611,2620
1611,2615
1610,0975
1610,1621
1610,1620
1610,1615
1610,1950
1610,0670
1610,1611
1610,2025
1610,1695
1610,2620
1610,2615
2025,0975
2025,1621
2025,1620
2025,1615
2025,1950
2025,0670
2025,1611
2025,1610
2025,1695
2025,2620
2025,2615
1695,0975
1695,1621
1695,1620
1695,1615
1695,1950
1695,0670
1695,1611
1695,1610
1695,2025
1695,2620
1695,2615
2620,0975
2620,1621
2620,1620
2620,1615
2620,1950
2620,0670
2620,1611
2620,1610
2620,2025
2620,1695
2620,2615
2615,0975
2615,1621
2615,1620
2615,1615
2615,1950
2615,0670
2615,1611
2615,1610
2615,2025
2615,1695
2615,2620
1570,1571
1571,1570
0680,1990
0680,1510
1990,0680
1990,1510
1510,0680
1510,1990
0210,2120
0210,0211
0210,3600
2120,0210
2120,0211
2120,3600
0211,0210
0211,2120
0211,3600
3600,0210
3600,2120
3600,0211
1231,1230
1231,0990
1231,2234
1230,1231
1230,0990
1230,2234
0990,1231
0990,1230
0990,2234
2234,1231
2234,1230
2234,0990
0580,1990
0580,0680
1990,0580
1990,0680
0680,0580
0680,1990
1510,0680
1510,1480
0680,1510
0680,1480
1480,1510
