route_1,route_2
9680,9560
9680,9900
9560,9680
9560,9900
9900,9680
9900,9560
9560,9680
9560,9900
9680,9560
9680,9900
9900,9560
9900,9680
9900,9560
9900,9680
9560,9900
9560,9680
9680,9900
9680,9560
9791,9790
9791,9480
9790,9791
9790,9480
9480,9791
9480,9790
9940,9310
9940,9501
9940,9720
9940,9630
9940,9380
9940,9722
9940,9500
9940,9800
9310,9940
9310,9501
9310,9720
9310,9630
9310,9380
9310,9722
9310,9500
9310,9800
9501,9940
9501,9310
9501,9720
9501,9630
9501,9380
9501,9722
9501,9500
9501,9800
9720,9940
9720,9310
9720,9501
9720,9630
9720,9380
9720,9722
9720,9500
9720,9800
9630,9940
9630,9310
9630,9501
9630,9720
9630,9380
9630,9722
9630,9500
9630,9800
9380,9940
9380,9310
9380,9501
9380,9720
9380,9630
9380,9722
9380,9500
9380,9800
9722,9940
9722,9310
9722,9501
9722,9720
9722,9630
9722,9380
9722,9500
9722,9800
9500,9940
9500,9310
9500,9501
9500,9720
9500,9630
9500,9380
9500,9722
9500,9800
9800,9940
9800,9310
9800,9501
9800,9720
9800,9630
9800,9380
9800,9722
9800,9500
9230,9660
9660,9230
9722,9720
9722,9400
9722,9080
9722,9410
9720,9722
9720,9400
9720,9080
9720,9410
9400,9722
9400,9720
9400,9080
9400,9410
9080,9722
9080,9720
9080,9400
9080,9410
9410,9722
9410,9720
9410,9400
9410,9080
9180,9010
9010,9180
9501,9500
9500,9501
9500,9501
9501,9500
9180,9010
9010,9180
9720,9722
9722,9720
9900,9560
9560,9900
9790,9070
9070,9790
9340,9230
9230,9340
9720,9410
9720,9722
9720,9400
9410,9720
9410,9722
9410,9400
9722,9720
9722,9410
9722,9400
9400,9720
9400,9410
9400,9722
9310,9500
9310,9140
9310,9501
9500,9310
9500,9140
9500,9501
9140,9310
9140,9500
9140,9501
9501,9310
9501,9500
9501,9140
9430,9600
9600,9430
9310,9900
9310,9560
9310,9080
9900,9310
9900,9560
9900,9080
9560,9310
9560,9900
9560,9080
9080,9310
9080,9900
9080,9560
9500,9501
9500,9960
9500,9961
9501,9500
9501,9960
9501,9961
9960,9500
9960,9501
9960,9961
9961,9500
9961,9501
9961,9960
9500,9501
9501,9500
9140,9500
9140,9560
9140,9501
9500,9140
9500,9560
9500,9501
9560,9140
9560,9500
9560,9501
9501,9140
9501,9500
9501,9560
9500,9501
9500,9960
9500,9961
9500,9140
9501,9500
9501,9960
9501,9961
9501,9140
9960,9500
9960,9501
9960,9961
9960,9140
9961,9500
