route_id,stop_name
0680,501. utca
1950,501. utca
1620,501. utca
1610,501. utca
2620,501. utca
1611,501. utca
1621,501. utca
2025,501. utca
1950,509. utca
1611,509. utca
1621,509. utca
1610,509. utca
2025,509. utca
2620,509. utca
1620,509. utca
0975,513. utca
1621,513. utca
1620,513. utca
1615,513. utca
1950,513. utca
0670,513. utca
1611,513. utca
1610,513. utca
2025,513. utca
1695,513. utca
2620,513. utca
2615,513. utca
1570,Ábránd utca
1571,Ábránd utca
0680,Áchim András utca
1990,Áchim András utca
1510,Áchim András utca
0210,Adonis utca
2120,Adonis utca
0211,Adonis utca
3600,Adonis utca
1231,Ady Endre tér
1230,Ady Endre tér
0990,Ady Endre tér
2234,Ady Endre tér
0580,Ady Endre út
1990,Ady Endre út
0680,Ady Endre út
1510,Ady Endre út (Báthory utca)
0680,Ady Endre út (Báthory utca)
1480,Ady Endre út (Báthory utca)
1790,Ady Endre út (Kossuth Lajos utca)
0350,Ady Endre út (Kossuth Lajos utca)
0360,Ady Endre út (Kossuth Lajos utca)
1510,Ady Endre út (Kossuth Lajos utca)
1480,Ady Endre út (Kossuth Lajos utca)
0980,Ady Endre utca
0380,Ady Endre utca
0985,Ady Endre utca
1720,Ady Endre utca
2945,Ady Endre utca
0845,Ady Endre utca
1660,Ady Endre utca
2800,Ady Endre utca
0630,Ady Endre utca
1240,Ady Endre utca
0550,Ady Endre utca
2660,Ady Endre utca
1110,Ady Endre utca
2790,Ady Endre utca
0110,Ady Endre utca
0895,Ady Endre utca
2802,Ady Endre utca
0844,Ady Endre utca
2544,Ady Endre utca
0945,Ady Endre utca
1190,Ady Endre utca
2792,Ady Endre utca
0944,Ady Endre utca
2380,Ady Endre utca
1980,Ady Endre utca
1402,Ady Endre utca
2944,Ady Endre utca
1400,Ady Endre utca
1190,Ady Endre utca (Topánka utca)
0350,Ady Endre utca (Topánka utca)
1660,Ady Endre utca (Topánka utca)
2234,Ady Endre utca (Topánka utca)
1480,Ady Endre utca (Topánka utca)
0235,Ady Endre utca (Topánka utca)
0230,Ady Endre utca (Topánka utca)
0660,Ady Endre utca (Topánka utca)
0662,Ady Endre utca (Topánka utca)
1050,Ág utca
1780,Ág utca
1540,Ajnácskő utca
0530,Ajnácskő utca
1500,Ajnácskő utca
3410,Ajtósi Dürer sor
3014,Ajtósi Dürer sor
3010,Ajtósi Dürer sor
1940,Ajtósi utca
1942,Ajtósi utca
2800,Akácfa körút
2792,Akácfa körút
2380,Akácfa körút
2790,Akácfa körút
2802,Akácfa körút
0380,Akácfa körút
3520,Akácfa utca
4700,Akácfa utca
0360,Akácfa utca
4780,Akácfa utca
0460,Akácvirág utca
0980,Akácvirág utca
3560,Akadémia
1290,Akadémia
3561,Akadémia
3592,Akadémia
35618,Akadémia
3610,Akadémia
1335,Akó utca
0330,Akó utca
2660,Alacskai út
1820,Alacskai út
1660,Alacskai út
2825,Alacskai út
2544,Alacskai út
2544,Alacskai úti lakótelep
1820,Alacskai úti lakótelep
2825,Alacskai úti lakótelep
2660,Alacskai úti lakótelep
1660,Alacskai úti lakótelep
1780,Alagút utca
