route_id,stop_name
9680,501. utca
9560,501. utca
9900,501. utca
9560,509. utca
9680,509. utca
9900,509. utca
9900,513. utca
9560,513. utca
9680,513. utca
9791,Ady Endre út (Kossuth Lajos utca)
9790,Ady Endre út (Kossuth Lajos utca)
9480,Ady Endre út (Kossuth Lajos utca)
9940,Ady Endre utca
9310,Ady Endre utca
9501,Ady Endre utca
9720,Ady Endre utca
9630,Ady Endre utca
9380,Ady Endre utca
9722,Ady Endre utca
9500,Ady Endre utca
9800,Ady Endre utca
9230,Ady Endre utca (Topánka utca)
9660,Ady Endre utca (Topánka utca)
9722,Ajnácskő utca
9720,Ajnácskő utca
9400,Ajnácskő utca
9080,Ajnácskő utca
9410,Ajnácskő utca
9180,Ajtósi Dürer sor
9010,Ajtósi Dürer sor
9501,Alacskai út
9500,Alacskai út
9500,Alacskai úti lakótelep
9501,Alacskai úti lakótelep
9180,Albert Flórián út
9010,Albert Flórián út
9720,Alcsiki dűlő
9722,Alcsiki dűlő
9900,Alsódabas utca
9560,Alsódabas utca
9790,Amerikai út
9070,Amerikai út
9340,Aquincum
9230,Aquincum
9720,Aradi utca
9410,Aradi utca
9722,Aradi utca
9400,Aradi utca
9310,Arany János utca
9500,Arany János utca
9140,Arany János utca
9501,Arany János utca
9430,Aranyhegyi lejtő
9600,Aranyhegyi lejtő
9310,Arenaall bevásárlóközpont
9900,Arenaall bevásárlóközpont
9560,Arenaall bevásárlóközpont
9080,Arenaall bevásárlóközpont
9500,Árpád Kórház
9501,Árpád Kórház
9960,Árpád Kórház
9961,Árpád Kórház
9500,Árpád út
9501,Árpád út
9140,Árpád utca
9500,Árpád utca
9560,Árpád utca
9501,Árpád utca
9500,Árpád üzletház
9501,Árpád üzletház
9960,Árpád üzletház
9961,Árpád üzletház
9140,Árpád üzletház
9791,Astoria
9900,Astoria
9790,Astoria
9500,Astoria
9090,Astoria
9140,Astoria
9310,Astoria
9730,Astoria
9160,Astoria
9070,Astoria
9501,Astoria
9560,Astoria
9080,Astoria
9560,Athenaeum Nyomda
9900,Athenaeum Nyomda
9680,Athenaeum Nyomda
9230,Attila utca
9480,Attila utca
9080,BAH-csomópont
9600,BAH-csomópont
9500,Bajcsy-Zsilinszky út
9790,Bajcsy-Zsilinszky út
9480,Bajcsy-Zsilinszky út
9501,Bajcsy-Zsilinszky út
9640,Bajcsy-Zsilinszky utca
9940,Bajcsy-Zsilinszky utca
9560,Bakancsos utca
9980,Bakancsos utca
9900,Bakancsos utca
9310,Bánki Donát utca
9080,Bánki Donát utca
9560,Bánki Donát utca
9900,Bánki Donát utca
9730,Bánkút utca
9960,Bánkút utca
9961,Bánkút utca
9722,Baross Gábor utca
9720,Baross Gábor utca
9501,Baross utca
9961,Baross utca
9800,Baross utca
9400,Baross utca
9140,Baross utca
9480,Baross utca
9960,Baross utca
9500,Baross utca
9660,Baross utca
9980,Bártfai utca
9010,Bártfai utca
9070,Bártfai utca
9722,Bartók Béla utca
9720,Bartók Béla utca
9310,Báthory utca / Bajcsy-Zsilinszky út
9500,Báthory utca / Bajcsy-Zsilinszky út
9140,Báthory utca / Bajcsy-Zsilinszky út
