stop_1,degree
13-as kilométerkő,17
501. utca,105
509. utca,81
513. utca,118
526. sor,26
Ábrahám Géza utca,23
Ábránd utca,15
Áchim András utca,84
Adonis utca,43
Ady Endre tér,70
Ady Endre út,84
Ady Endre út (Báthory utca),107
Ady Endre út (Hunyadi utca),45
Ady Endre út (Kossuth Lajos utca),150
Ady Endre út (Rendőrség),51
Ady Endre utca,381
Ady Endre utca (Topánka utca),152
Ady lépcső,17
Adyliget,17
Ág utca,49
Agárdi út,34
Agip utca,30
Ajnácskő utca,64
Ajtósi Dürer sor,82
Ajtósi utca,24
Akácfa körút,51
Akácfa utca,91
Akácvirág utca,100
Akadémia,68
"Akadémiaújtelep, 525. tér",36
Akó utca,46
Alabástrom utca,39
Alacskai út,80
Alacskai úti lakótelep,80
Alagút utca,53
Albert Flórián út,143
Albertfalva kitérő,120
Albertfalva utca,150
Albertfalva vasútállomás,69
Albertirsai köz,9
Alcsiki dűlő,77
Áldomás utca,18
Alkotmány utca,21
Állás utca,41
Állatkert,28
Állvány utca,35
Almafa utca,45
Almásháza utca,57
Almássy tér,27
Álmos utca,72
Álmos vezér útja,69
Alsó határút,26
Alsó Zöldmáli út,45
Alsódabas utca,68
Alsóhegy utca,85
Alsómalom utca,31
Aluljáró (Rézvirág utca),45
Alvinc utca,58
Amerikai út,61
Amerikai út (Mexikói út),47
Ananász utca,80
Andor utca,120
Andor utca / Tétényi út,101
Andrássy út (Opera),18
Andrássy út (Vörösmarty utca),24
Angeli utca / Nagytétényi út,76
Angyalföld kocsiszín,165
Angyalföld vasútállomás,162
Angyalisziget,19
Anilin utca,83
Anna kápolna,23
Antalháza,36
Apolló utca,97
Apor Vilmos tér,92
Apostol utca,34
Aquincum,52
Ár utca,62
Aradi utca,152
Arany János utca,168
Aranyhegyi lejtő,27
Aranykút utca,79
Aranyvirág sétány,21
Aranyvölgy utca 14.,26
Aranyvölgy vasútállomás,26
Arató utca,36
Arenaall bevásárlóközpont,57
Árnyas utca,51
Árokhát út,63
Ároktő út,103
Árpád fejedelem utca,57
Árpád Kórház,94
Árpád út,63
Árpád utca,155
Árpád üzletház,117
Árpádföld,10
"Árpádföld, Bekecs utca",22
"Árpádföld, Dezsőfia utca",22
Áruházi bekötőút,56
Árvavár utca,33
AsiaCenter,34
Astoria,249
Aszály utca,36
Aszódi utca,21
Asztalos Sándor út,151
Athenaeum Nyomda,104
ATI,15
Atlétikai stadion,24
Attila utca,83
Auchan Liget,28
Auchan Sziget áruház,56
Aulich Lajos utca,38
Autópiac,58
Baba utca,34
Bacsó Béla utca,30
Bagaria utca,37
BAH-csomópont,182
Bajcsy-Zsilinszky Kórház,98
Bajcsy-Zsilinszky út,153
Bajcsy-Zsilinszky utca,53
Bajza utca,63
Bakancsos utca,205
Balatoni út,79
Balatoni út / Dózsa György út,30
Balatoni út /áros utca,57
Balázs Béla utca,102
Bálint György utca,86
Balkán utca,79
Ballada utca,26
Balogh Tihamér utca,11
Balogvár utca,16
Bánki Donát utca,58
Bánkút utca,117
Bánya part,57
Bánya utca,67
Bányalég utca,30
Bányató út,36
Bányató utca,49
Barabás Villa,22
Barackos út / Angeli utca,75
Barátka utca,24
"Baross Gábor-telep, Ispiláng utca",34
Baross Gábor utca,60
Baross utca,448
Baross utca / Fóti út,85
