stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
002133,Örs vezér tere,47.500366,19.1357,,,,,
002138,Kőbánya alsó vasútállomás,47.483139,19.127891,,,,2.0,
003002,Puskás Ferenc Stadion,47.500368,19.103406,,,,,
003103,"Káposztásmegyer,ogyoródi-patak",47.598778,19.121447,,,,,
003105,Bécsi út / Vörösvári út,47.548817,19.029722,,,,2.0,
003106,Örs vezér tere,47.50516,19.136637,,,,,
003118,"Óbuda, Bogdáni út",47.551471,19.041971,,,,2.0,
004716,"ÉD metró járműtelep,porta",47.469651,19.129089999999998,,,,2.0,
004903,Örs vezér tere,47.503479999999996,19.137210999999997,004903,,CSLM2OVE,2.0,
005924,Mill.FAV járműtelep (kapu),47.518788,19.093168,,,,,
006390,Cinkota kocsiszín (kapu),47.519345,19.217072,,,,,
007177,Csepel kocsiszín (kapu),47.421498,19.066247,,,,,
007675,Dunaharaszti külső kocsiszín (kapu),47.362751,19.088475,,,,,
007724,Csömör,47.544971000000004,19.225038,007724,,CSF04655,2.0,
007736,Gödöllő,47.593332000000004,19.357761,007736,,CSF04679,2.0,
007762,Szentendre kocsiszín (kapu),47.658755,19.072392,,,,,
007817,Márta utca,47.429184,18.929497,,,,2.0,160.0
007877,Bíróság,47.519544,18.97806,,,,1.0,-78.0
007878,Bíróság,47.519418,18.978021,,,,1.0,102.0
007879,"Római úti lakótelep, Varsa utca",47.570863,19.058543,,,,2.0,99.0
007880,Bécsi út / Vörösvári út,47.547562,19.028729000000002,,,,1.0,
007881,Váradi utca,47.543721999999995,19.030125,,,,1.0,-10.0
007882,Váradi utca,47.542679,19.029953,,,,1.0,168.0
007883,Perényi út,47.5458,19.029579000000002,,,,1.0,-9.0
007884,Deák Ferenc tér,47.497413,19.055158,,,,1.0,
007885,Dorottya utca (Vörösmarty tér),47.497476,19.049623,,,,1.0,-128.0
007887,Mester utca / Ferenc körút,47.482246,19.068716000000002,,,,2.0,16.0
007888,Mester utca / Ferenc körút,47.48257,19.068476999999998,,,,2.0,-163.0
007890,Mester utca / Ferenc körút,47.481671,19.068782000000002,,,,2.0,123.0
007897,Kelenföld vasútállomás,47.464572,19.022964,,,,1.0,94.0
007898,Kelenföld vasútállomás,47.464653000000006,19.023017000000003,,,,1.0,100.0
007899,Kelenföld vasútállomás,47.46477,19.023003,007899,,CS007899,2.0,
007900,Maros utcai rendelőintézet,47.503724,19.022401000000002,,,,1.0,144.0
007902,Újpest-városkapu,47.5586,19.07822,,,,1.0,56.0
007913,526. sor,47.479281,19.211332000000002,,,,2.0,118.0
007914,526. sor,47.4793,19.211468,,,,2.0,-62.0
007919,Pólus Center,47.552544,19.143552,,,,2.0,-138.0
007923,Kele utca,47.431808000000004,19.173804,,,,1.0,34.0
007924,Ültetvény utca,47.396895,19.175423000000002,,,,2.0,45.0
007927,Ferihegy vasútállomás,47.438423,19.222716000000002,,,,1.0,-43.0
007928,Ferihegy vasútállomás,47.437667,19.223377,,,,1.0,134.0
007930,Savoyai Jenő tér (Törley tér),47.430333000000005,19.036354,,,,1.0,-100.0
007931,Savoyai Jenő tér (Törley tér),47.430369,19.036792000000002,,,,1.0,-99.0
007949,Kocsis Sándor út,47.574343,19.013009,,,,1.0,180.0
007950,Keleti pályaudvar,47.501104,19.082712,,,,1.0,-129.0
007967,Kelenföld vasútállomás,47.465732,19.021875,,,,1.0,
007968,Mogyoród útja,47.570602,19.128267,,,,1.0,37.0
007972,Hűvösvölgy,47.543009000000005,18.964481,,,,2.0,163.0
007974,Hűvösvölgy,47.542605,18.964773,,,,1.0,144.0
007975,Hűvösvölgy,47.543243,18.964281,,,,2.0,
007976,Hűvösvölgy,47.543264,18.963995,,,,2.0,-40.0
007977,Hűvösvölgy,47.542968,18.964195,,,,2.0,-29.0
007978,Hűvösvölgy,47.542707,18.964354999999998,,,,2.0,-29.0
007979,Vörösmarty utca,47.507467999999996,19.066509,,,,2.0,-135.0
007980,Vörösmarty utca,47.507444,19.066767000000002,,,,2.0,45.0
007995,Jókaiór utca,47.410717,19.020681,,,,2.0,-32.0
007996,Budatétény vasútállomás (Campona),47.40572,19.013837,,,,1.0,-26.0
007997,Budatétény vasútállomás (Campona),47.405972,19.014129,,,,1.0,-66.0
007998,Budatétény vasútállomás (Campona),47.405711,19.014354,,,,1.0,-55.0
007999,Budatétény vasútállomás (Campona),47.405702000000005,19.014155,,,,1.0,-174.0
008003,Budagyöngye,47.515894,18.999506,,,,2.0,-30.0
008005,Móricz Zsigmond körtér,47.477022999999996,19.047527,,,,1.0,18.0
008018,Örs vezér tere,47.500933,19.135714,,,,2.0,
008020,Örs vezér tere,47.500932,19.136306,,,,1.0,
008021,Örs vezér tere,47.501940000000005,19.136228,,,,1.0,-34.0
008022,Örs vezér tere,47.501517,19.136333,,,,1.0,-9.0
008023,Örs vezér tere,47.501472,19.136134,,,,1.0,169.0
008024,Örs vezér tere,47.501148,19.136213,,,,1.0,165.0
008025,Örs vezér tere,47.501778,19.135922,,,,1.0,-14.0
008026,Örs vezér tere,47.501355,19.136028,,,,1.0,-4.0
008027,Örs vezér tere,47.501436,19.135801999999998,,,,1.0,
008028,Örs vezér tere,47.501112,19.135882000000002,,,,1.0,137.0
008029,Örs vezér tere,47.502111,19.135697,,,,1.0,-102.0
008030,Örs vezér tere,47.501742,19.135604,,,,1.0,-11.0
008031,Örs vezér tere,47.501319,19.135709,,,,1.0,
008036,Kőbányai út 31.,47.487460999999996,19.104252,,,,1.0,-68.0
008037,Kőbányai út 31.,47.487452000000005,19.103721,,,,1.0,112.0
008040,Tas vezér utca,47.478606,19.040827,,,,2.0,109.0
008041,Tas vezér utca,47.478849,19.040827,,,,1.0,-71.0
008047,Lajosmizsei sorompó,47.450468,19.16141,,,,2.0,-59.0
008050,Liptó utca,47.4861,19.007031,,,,2.0,-147.0
008051,Liptó utca,47.48601,19.007071,,,,2.0,32.0
008067,Szent Imre tér,47.430889,19.0703,,,,1.0,-175.0
008080,Göncz Árpád városközpont,47.534584,19.067859,,,,1.0,
008086,Széll Kálmán tér,47.507313,19.026381,,,,1.0,41.0
008087,Fény utcai piac,47.508464000000004,19.023646,,,,1.0,-84.0
008090,Móricz Zsigmond körtér,47.477256,19.048786,,,,1.0,108.0
008093,Dél-pesti autóbuszgarázs,47.426707,19.161776,,,,1.0,-121.0
008094,Dél-pesti autóbuszgarázs,47.426159999999996,19.16094,,,,1.0,57.0
008095,Nagykőrösi út,47.425255,19.157029,,,,2.0,-106.0
008096,Nagykőrösi út,47.425183000000004,19.157506,,,,2.0,73.0
008098,Szabina út,47.43645,19.013416,,,,2.0,-168.0
008099,Pék utca,47.442037,19.018742,,,,2.0,108.0
008100,Pék utca,47.442184000000005,19.018652,,,,2.0,-72.0
008101,Rózsavölgy felső,47.441102,19.022349,,,,2.0,121.0
008102,Rózsavölgy felső,47.44112,19.022627,,,,2.0,-59.0
008103,Rózsavölgy alsó,47.43828,19.030491,,,,2.0,-69.0
008104,Rózsavölgy alsó,47.43827,19.029987,,,,2.0,105.0
008106,Vihar utca,47.434282,19.035651,,,,1.0,142.0
008109,Damjanich utca,47.402518,18.991053,,,,1.0,22.0
008110,Barosstelep vasútállomás,47.399613,18.990910999999997,,,,1.0,-91.0
008111,Barackos út / Angeli utca,47.402248,18.974427,,,,1.0,-126.0
008112,Szakiskola utca,47.404920000000004,18.975841,,,,2.0,176.0
008113,Szilvafa utca,47.405214,18.982167999999998,,,,2.0,-94.0
008114,Mátyás király utca,47.404326,18.990745999999998,,,,2.0,-59.0
008115,Szebeni utca,47.430338,19.016060999999997,,,,2.0,-81.0
008116,Szebeni utca,47.430177,19.016896,,,,2.0,99.0
008119,Mátra utca,47.400093,18.997692999999998,,,,2.0,-103.0
008120,Budatétény vasútállomás (Campona),47.40563,19.013784,,,,2.0,-45.0
008124,Zöldike utca,47.430738,19.012823,,,,2.0,-80.0
008125,Zöldike utca,47.431205,19.012359,,,,2.0,154.0
008126,Hír utca,47.432896,19.011523,,,,2.0,13.0
008127,Hír utca,47.432914000000004,19.011403,,,,2.0,-167.0
008128,Ady Endre út,47.435802,19.036578,,,,2.0,-25.0
008132,Puskás Ferenc Stadion,47.501283,19.107691,,,,1.0,163.0
008146,Vajda Péter utca,47.481389,19.103174,,,,1.0,-152.0
008147,Vajda Péter utca,47.481770000000004,19.103619000000002,,,,1.0,31.0
008148,Kőbányai út / Könyves Kálmán körút,47.485742,19.107077,,,,1.0,-152.0
008149,Kőbányai út / Könyves Kálmán körút,47.486236,19.107515,,,,1.0,25.0
008150,Zsil utca,47.48294,19.062984,,,,2.0,-44.0
008152,Mester utca / Könyves Kálmán körút,47.469596,19.083728,,,,1.0,-110.0
008153,Mester utca / Könyves Kálmán körút,47.469722999999995,19.084482,,,,1.0,69.0
008155,Közvágóhíd,47.468737,19.072756,,,,1.0,-94.0
008156,Új köztemető,47.473586,19.178326000000002,,,,1.0,-8.0
008164,Örs vezér tere,47.501382,19.136585,,,,1.0,135.0
008165,Örs vezér tere,47.501849,19.136467,,,,1.0,170.0
008168,I. utca,47.400994,19.002739000000002,,,,1.0,-106.0
008169,I. utca,47.400904,19.003494,,,,1.0,85.0
008170,Angeli utca / Nagytétényi út,47.390622,18.981,,,,1.0,58.0
008174,Népliget,47.475842,19.100499,,,,2.0,
008175,"Népliget, tároló",47.475832000000004,19.100182999999998,,,,2.0,
008181,Cinkotai autóbuszgarázs,47.498562,19.237779,,,,2.0,66.0
008187,Batthyány tér,47.506776,19.039317999999998,008187,,CSF00062,2.0,
008206,Mexikói út,47.519261,19.091048,,,,1.0,
008209,Nagy Lajos király útja / Czobor utca,47.52217,19.102815,,,,1.0,114.0
008218,Széchenyi István tér,47.499014,19.047022,,,,2.0,165.0
008222,Örs vezér tere,47.503684,19.136443,,,,1.0,168.0
008238,Széchenyi István tér,47.500543,19.046689999999998,,,,1.0,-111.0
008239,Müpa - Nemzeti Színház,47.471165,19.073129,,,,1.0,149.0
008240,Müpa - Nemzeti Színház,47.471354,19.073301,,,,1.0,-30.0
008241,Szőnyi út,47.526625,19.096220000000002,,,,1.0,-54.0
008242,Teleki Blanka utca,47.523865,19.093760999999997,,,,1.0,-158.0
008243,Szántóföld utca,47.572244,19.13883,,,,2.0,-144.0
008245,Kolozsvár utcai piac,47.536842,19.114916,,,,1.0,-136.0
008246,Rákospalotai köztemető,47.55124,19.13601,,,,2.0,-50.0
008260,Nagybányai út,47.528476,18.996294,,,,1.0,-110.0
008261,Nagybányai út,47.528368,18.996467000000003,,,,1.0,70.0
008262,Hidegkuti Nándor Stadion,47.49069,19.10891,,,,1.0,-180.0
008265,Közvágóhíd,47.468737,19.073486,,,,1.0,89.0
008267,Szentlőrinci út,47.424625,19.157703,,,,1.0,-127.0
008269,Delej utca,47.484694,19.096208999999998,,,,1.0,-64.0
008270,Delej utca,47.48446,19.096407,,,,1.0,116.0
008271,Szentendre,47.661038,19.075607,,,,2.0,
008272,Közvágóhíd,47.466285,19.077170000000002,,,,2.0,
008280,Infopark (Pázmány Péter sétány),47.469242,19.064332999999998,,,,1.0,177.0
008283,Óceán-árok utca,47.589985999999996,19.100345,,,,1.0,-122.0
008284,Óceán-árok utca,47.590345,19.101781,,,,1.0,56.0
008286,Népliget,47.476294,19.099288,,,,1.0,23.0
008287,Népliget,47.476345,19.098937,,,,1.0,-152.0
008289,Szilágyi utca,47.570877,19.11133,,,,1.0,-70.0
008317,Bartók Béla utca,47.433298,18.919575,,,,2.0,-132.0
008318,Raktárváros,47.441547,18.938276000000002,,,,2.0,-123.0
008319,Raktárváros,47.441565999999995,18.938608,,,,2.0,57.0
008322,Harangláb,47.431924,18.914078,,,,2.0,130.0
008323,Károlyi utca,47.43769,18.899546,,,,2.0,132.0
008324,Tükörhegy,47.436382,18.927085,,,,2.0,-125.0
008325,Tükörhegy,47.436211,18.926992000000002,,,,2.0,55.0
008326,Ady Endre utca,47.435045,18.906260999999997,,,,1.0,116.0
008328,Törökbálint Sportközpont,47.440051000000004,18.895734,,,,2.0,-49.0
008329,Törökbálint Sportközpont,47.440284000000005,18.895177,,,,2.0,132.0
008330,Határ utca,47.445284,18.8943,,,,2.0,-1.0
008331,Határ utca,47.444924,18.894036,,,,2.0,-154.0
008332,Hosszúrét utca,47.446065999999995,18.881264,,,,2.0,172.0
008333,"Törökbálint, bevásárlóközpont",47.443242,18.887398,,,,2.0,25.0
008336,Növény utca,47.402071,19.015810000000002,,,,2.0,54.0
008337,Növény utca,47.402125,19.015254000000002,,,,2.0,-127.0
008339,Budaörsi lakótelep,47.455746000000005,18.940232,,,,1.0,137.0
008341,Templom tér,47.542367,19.130057,,,,2.0,165.0
008344,Királyhágó tér,47.495421,19.018729,,,,1.0,130.0
008345,Katona József utca,47.438346,18.906478,,,,2.0,139.0
008353,Észak-Pesti Kórház,47.539377,19.122388,,,,2.0,46.0
008359,Óbudai autóbuszgarázs,47.567996,19.026301999999998,008359,,CSF00678,1.0,
008360,Óbudai autóbuszgarázs,47.568290000000005,19.02673,,,,2.0,
008365,Bécsi út / Vörösvári út,47.548489000000004,19.028941,008365,,CSF00568,1.0,
008377,Nagykőrösi út /atár út,47.45645,19.11466,,,,2.0,-83.0
008379,Kőbánya alsó vasútállomás,47.483885,19.127207000000002,,,,2.0,-31.0
008380,Kőbánya alsó vasútállomás,47.483256,19.12813,,,,2.0,137.0
008381,Kőbánya alsó vasútállomás,47.484010999999995,19.127574,,,,2.0,-114.0
008382,Örs vezér tere,47.502448,19.136843,,,,1.0,-9.0
008383,Örs vezér tere,47.502623,19.136654,,,,1.0,167.0
008385,"Rákospalota,ÁV-telep",47.541308,19.121443,,,,1.0,
008399,Pestszentimre vasútállomás,47.404222,19.186489,,,,1.0,-140.0
008400,"Dunakeszi, Auchan áruház",47.608971999999994,19.117347,,,,2.0,110.0
008402,Kert sor,47.591122,19.045358,,,,1.0,23.0
008403,Kert sor,47.591374,19.045384,,,,1.0,-157.0
008404,Csillaghegy,47.584817,19.042061,,,,1.0,20.0
008405,Csillaghegy,47.584781,19.041862,,,,1.0,-159.0
008406,Forrásliget lakópark,47.581093,19.037502,,,,1.0,51.0
008407,Forrásliget lakópark,47.581363,19.037795000000003,,,,1.0,-129.0
008408,Ürömhegyi lejtő,47.577645000000004,19.032198,,,,2.0,14.0
008409,Ürömhegyi lejtő,47.577663,19.032065,,,,2.0,-166.0
008410,Aranyhegyi lejtő,47.572593,19.030301,,,,2.0,14.0
008411,Aranyhegyi lejtő,47.572511999999996,19.030128,,,,2.0,-166.0
008412,Bécsi út / Vörösvári út,47.548471,19.02918,,,,1.0,0.0
008426,"Káposztásmegyer, Szilas-patak",47.577405,19.114926999999998,,,,2.0,11.0
008428,"Budakalász, Budai út",47.617063,19.051534,,,,2.0,-48.0
008429,"Budakalász, Budai út",47.616729,19.051767,,,,2.0,145.0
008430,"Budakalász, Lenfonó",47.620304,19.046374,,,,1.0,-10.0
008431,"Budakalász, Lenfonó",47.6218,19.045662,,,,1.0,167.0
008432,Szentistvántelep,47.628444,19.043367,,,,2.0,-18.0
008433,Szentistvántelep,47.627055,19.043879,,,,2.0,163.0
008434,Pomáz,47.643896999999996,19.030357000000002,,,,1.0,-39.0
008435,Pomáz,47.642594,19.031458999999998,,,,2.0,128.0
008436,"Szentendre, Papírgyár",47.648965000000004,19.069449,,,,1.0,17.0
008437,Papírgyár,47.647762,19.069060999999998,,,,1.0,177.0
008438,Egyetem,47.652306,19.071738,,,,1.0,26.0
008439,Egyetem,47.652066999999995,19.071331,,,,1.0,-154.0
008440,Gubacsi út /atár út,47.443626,19.096848,,,,1.0,42.0
008447,Dióskert,47.42563,18.911984,,,,2.0,-117.0
008455,Jászaiari tér,47.512811,19.047938000000002,,,,2.0,
008458,Tisza István tér,47.51723,19.10735,,,,1.0,-43.0
008459,Uzsoki Utcai Kórház,47.519822,19.103742,,,,1.0,-42.0
008460,Uzsoki Utcai Kórház,47.519642,19.103436,,,,1.0,136.0
008461,Erzsébet királyné útja / Róna utca,47.521615000000004,19.101317,,,,1.0,-37.0
008462,Bretzfeld utca,47.460536,18.945898,,,,1.0,153.0
008469,Gubacsi út /atár út,47.444418,19.096583,,,,2.0,
008471,Dél-pesti autóbuszgarázs,47.426556,19.160782,,,,1.0,140.0
008472,Dél-pesti autóbuszgarázs,47.426744,19.16114,,,,1.0,-24.0
008479,Homokbánya utca,47.399559,18.941035,,,,2.0,-42.0
008480,Petőfi Sándor utca,47.40247,18.937784,,,,1.0,46.0
008481,Soroksár felső,47.40998,19.111404999999998,,,,1.0,171.0
008486,Csonka János tér,47.47007,19.044795,,,,1.0,-167.0
008490,Határ út,47.464573,19.126164000000003,,,,1.0,148.0
008491,Jászberényi út,47.485549,19.192667999999998,,,,2.0,10.0
008498,Aszódi utca,47.463484,19.100991,,,,1.0,146.0
008499,Közterületfenntartó Zrt.,47.467861,19.106659,,,,1.0,-149.0
008500,Ecseri út,47.470487,19.108771,,,,2.0,-150.0
008501,Ferencvárosi rendelőintézet,47.476723,19.074856,,,,1.0,-119.0
008518,Tímár utca,47.533275,19.043766,,,,2.0,
008519,Tímár utca,47.533299,19.043582,,,,1.0,-146.0
008520,Szentlélek tér,47.539343,19.047088000000002,,,,2.0,
008521,Serfőző utca,47.538309000000005,19.046968,,,,1.0,178.0
008535,Cinkotai autóbuszgarázs,47.498185,19.237392,,,,1.0,60.0
008543,Szépvölgyi út,47.52867,19.04046,,,,2.0,
008544,Szépvölgyi út,47.527615000000004,19.040036999999998,,,,1.0,-168.0
008545,Puskás Ferenc Stadion,47.500105,19.107013000000002,,,,1.0,-97.0
008546,Boráros tér,47.479738,19.067812,,,,2.0,168.0
008548,"Gyál, Bem József utca",47.372917,19.216769,,,,1.0,132.0
008549,Kisfaludy Sándor utca,47.375008,19.213611,,,,2.0,134.0
008550,Toldiiklós utca,47.377334000000005,19.210016,,,,2.0,133.0
008551,Bacsó Béla utca,47.379533,19.206672,,,,1.0,133.0
008552,Erdősor utca,47.383055999999996,19.201876000000002,,,,2.0,-138.0
008553,Bajcsy-Zsilinszky utca,47.385653000000005,19.204449,,,,2.0,135.0
008559,Korompai utca,47.48486,19.012485,,,,1.0,-97.0
008560,Korompai utca,47.484789,19.012843,,,,1.0,83.0
008567,Gazdagréti tér,47.473277,18.99278,,,,1.0,63.0
008569,Cinkotai autóbuszgarázs,47.498194,19.237085999999998,,,,2.0,-121.0
008575,Távíró utca,47.461082,19.119025,,,,1.0,41.0
008577,Rákoshegy vasútállomás,47.467934,19.244806,,,,1.0,-82.0
008587,Gyáli út,47.456472,19.111009,,,,2.0,-103.0
008588,Gyáli út,47.456293,19.110359,,,,2.0,77.0
008589,Gyáli út,47.46601,19.103474,,,,1.0,-38.0
008590,Szent Gellért tér -űegyetem,47.483337,19.053085999999997,,,,1.0,-148.0
